# 시나리오 #2 — 의제 코인 매도 (필요경비 의제 50%)

#,일시 (KST),거래소,코인,종류,수량,단가 (KRW),거래금액 (KRW),수수료 (KRW),원본 통화
1,"2027-01-15 10:30",Upbit,BTC,매수,0.1,50000000,5000000,5000,KRW
2,"2027-02-10 11:00",Upbit,ETH,매수,1,4000000,4000000,4000,KRW
3,"2027-03-20 14:15",Upbit,BTC,매수,0.05,60000000,3000000,3000,KRW
4,"2027-05-15 09:00",Upbit,ETH,매수,2,5000000,10000000,10000,KRW
5,"2027-07-10 16:20",Upbit,BTC,매도,0.1,80000000,8000000,8000,KRW
6,"2027-09-20 11:00",Upbit,ETH,매도,2,6000000,12000000,12000,KRW
7,"2027-11-15 13:30",Upbit,ETH,매도,1,7000000,7000000,7000,KRW

# 의제 코인 (필요경비 의제 50% 적용 대상)
ETH
