# 시나리오 #10 — 부분 의제 + 실가 + 의제취득가액 mix

#,일시 (KST),거래소,코인,종류,수량,단가 (KRW),거래금액 (KRW),수수료 (KRW),원본 통화
1,"2026-09-15 10:30",Upbit,BTC,매수,0.05,40000000,2000000,4000,KRW
2,"2027-02-10 11:00",Upbit,ETH,매수,1,4000000,4000000,4000,KRW
3,"2027-04-20 14:15",Upbit,BTC,매수,0.05,70000000,3500000,3500,KRW
4,"2027-06-15 09:00",Upbit,DOGE,매수,100,1000,100000,100,KRW
5,"2027-09-10 16:20",Upbit,BTC,매도,0.1,90000000,9000000,9000,KRW
6,"2027-11-20 11:00",Upbit,ETH,매도,1,6000000,6000000,6000,KRW
7,"2027-12-15 13:30",Upbit,DOGE,매도,100,1500,150000,150,KRW

# 의제취득가액 시가 (2026-12-31 24:00 KST 기준)
코인,시가 (KRW)
BTC,60000000

# 의제 코인 (필요경비 의제 50% 적용 대상)
ETH
DOGE
